location	count
60	0
72	0
102	0
188	0
246	0
333	0
360	0
426	0
448	0
471	0
483	0
494	0
504	0
514	0
525	0
534	0
601	0
653	0
670	0
706	0
741	0
784	0
794	0
843	0
989	0
1092	0
1104	0
1267	0
1278	0
1345	0
1423	0
1522	0
1552	4
1635	0
1779	0
1782	0
1788	0
1847	0
1858	0
1921	0
2001	0
2012	0
2063	0
2104	0
2141	0
2232	0
2290	0
2315	0
2318	0
2333	0
2344	0
2363	0
2387	0
2404	0
2427	0
2479	0
2507	0
2537	0
2591	0
2648	0
2738	0
2774	0
2845	0
2920	0
3027	0
3056	0
3066	0
3070	0
3119	0
3131	0
3145	0
3222	0
3228	0
3277	0
3283	0
3329	0
3372	0
3379	0
3384	0
3396	0
3412	0
3425	0
3441	0
3467	0
3471	0
3513	0
3591	1
3682	0
3708	0
3728	0
3739	0
3770	0
3782	0
3796	0
3833	0
3925	0
3960	0
3967	0
3986	0
4011	0
4028	0
4094	0
4118	0
4121	6
4130	0
4158	0
4207	0
4217	0
4353	0
4664	0
4721	0
4789	0
4912	0
4961	0
4970	0
4989	0
4995	15
5066	34
5120	43
5128	0
5170	7
5230	0
5273	0
5287	0
5336	0
5364	0
5420	0
5439	0
5517	0
5547	0
5579	0
5586	0
5623	0
5631	0
5669	0
5687	0
5792	0
5977	0
5996	0
6055	0
6128	0
6230	0
6249	0
6286	0
6403	0
6490	0
6502	0
6526	0
6605	0
6612	0
6672	0
6729	0
6793	0
6809	0
6856	0
6944	0
6983	0
7067	0
7077	0
7093	0
7225	0
7265	0
7299	3
7383	0
7392	0
7470	0
7551	0
7578	0
7620	0
7686	0
7763	0
7767	0
7798	0
7865	0
7970	0
8031	0
8077	0
8099	0
8127	0
8219	0
8236	0
8288	0
8295	0
8338	0
8391	0
8394	0
8436	0
8486	0
8546	0
8786	0
8858	0
8874	0
8901	0
9030	0
9045	0
9100	0
9150	0
9165	0
9419	0
9465	0
9492	0
9503	0
9519	0
9526	0
9542	0
9564	0
9624	0
9776	2
9816	0
9850	0
9877	5
9894	0
9903	0
10023	0
10104	0
10277	12
10299	0
10414	0
10426	56
10583	0
10600	0
10608	0
10769	0
10826	119
10857	0
10876	0
10884	0
10892	0
10894	0
10907	0
10923	0
10953	0
11096	15
11119	0
11131	0
11176	0
11198	1
11207	21
11289	15
11301	0
11422	21
11444	0
11530	110
11556	108
11618	0
11659	0
11675	65
11679	143
11733	38
11739	68
11743	54
11749	0
11787	62
11848	0
12042	0
12054	11
12145	0
12250	9
12352	227
12466	36
12491	23
12512	0
12530	0
12621	19
12663	3
12750	59
12798	0
13025	185
13046	69
13079	9
13155	0
13168	0
13275	0
13309	1
13322	0
13325	115
13369	56
13459	0
13469	0
13486	0
13560	43
13567	17
13595	0
13608	0
13669	0
13686	0
13699	0
13772	0
13852	0
13903	0
